	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
138	138	4	137	full	fore	rezskhovusrative	reservate	4	16	9
139	139	4	1380	time	train	fpyeir	fore	5	6	4
140	140	7	22	amateur	forth	tq	train	5	2	5
141	141	7	19	athlete	shermong	foventsnuagboy	forth	8	14	5
142	142	7	197	eastern	stend	hhyjonknbylf	shermong	5	12	8
143	143	4	3	bloc	denile	qteff	stend	6	5	5
144	144	9	409	countries	sitches	qunpledmimbhnh	denile	7	14	6
145	145	7	71	further	punished	vivelezidatw	sitches	8	12	7
146	146	6	2	eroded	holders	pupuchSOSthyurSOSndrigzi	punished	7	24	8
147	147	8	12	ideology	prade	hodprysoport	holders	5	12	7
148	148	4	28	pure	change	pok	prade	6	3	5
149	149	2	5578	as	trapped	bhathingdoodabsii	change	7	17	6
150	150	3	228	put	ballood	tr	trapped	7	2	7
151	151	4	89	self	standing	bvyiledlaax	ballood	8	11	7
152	152	8	4	financed	noth	sslaewedfpcire	standing	4	14	8
153	153	8	4	amateurs	communical	nyoqsjaghi	noth	10	10	4
154	154	7	280	western	inter	gxonnycn	communical	5	8	10
155	155	12	1	disadvantage	patistian	ivyiy	inter	9	5	5
156	156	11	5	predictions	abstern	havikyidges	patistian	7	11	9
157	157	5	1049	these	inve	ibsqetiutksr	abstern	4	12	7
158	158	5	109	rules	shorts	ifx	inve	6	3	4
159	159	8	5	verified	accented	vzexugkearc	shorts	8	11	6
160	160	4	1700	many	decreases	amasaptbseybom	accented	9	14	8
161	161	11	31	experiments	strees	dn	decreases	6	2	9
162	162	4	1311	most	attlemence	nezhivukt	strees	10	9	6
163	163	8	32	teachers	stan	qtlj	attlemence	4	4	10
164	164	10	10	volunteers	holans	ygkl	stan	6	4	4
165	165	3	1852	but	super	hrzmvdank	holans	5	9	6
166	166	3	1494	who	en	zypyi	super	2	5	5
167	167	4	55	paid	faction	e	en	7	1	2
168	168	4	3390	this	billowe	xhepvibbe	faction	7	9	7
169	169	7	8	partial	performate	oilfofs	billowe	10	7	7
170	170	4	251	list	remote	pedfaphaqes	performate	6	11	10
171	171	6	301	famous	descended	rtewpciesly	remote	9	11	6
172	172	6	2115	people	diamode	desciplpielbycgle	descended	7	17	9
173	173	9	46	confirmed	sacter	dvhvSOSiug	diamode	6	10	7
174	174	2	2870	be	spect	nrcpex	sacter	5	6	6
175	175	3	43	gay	contline	vyeex	spect	8	5	5
176	176	7	13	lesbian	conter	cvirlh	contline	6	6	8
177	177	2	3114	or	remortation	horwabyabkls	conter	11	12	6
178	178	8	15	bisexual	banks	ryokeozwakahok	remortation	5	14	11
179	179	7	3	goodwin	burst	w	banks	5	1	5
180	180	5	419	games	adulted	kftsalr	burst	7	7	5
181	181	9	1	pentatone	composition	zbuddesuic	adulted	11	10	7
182	182	3	1	ptc	extend	okyr	composition	6	4	11
183	183	6	12	sailed	show	evrhswaysonture	extend	4	15	6
184	184	6	139	across	relation	ohmwgrasdewed	show	8	13	4
185	185	8	110	atlantic	parenter	zuetznhhym	relation	8	10	8
186	186	5	129	ocean	hunted	phreclena	parenter	6	9	8
187	187	6	228	europe	mauristic	hudcbasa	hunted	9	8	6
188	188	4	3	ravi	recorded	mjuvasmi	mauristic	8	8	9
189	189	5	962	known	gream	retwiketeshmiyslic	recorded	5	18	8
190	190	9	1	parushani	increased	glgyubuetim	gream	9	11	5
191	191	7	1	iravati	single	iczeolchkerg	increased	6	12	9
192	192	7	38	indians	sall	pichviztomses	single	4	13	6
193	193	5	4	vedic	marine	xaiqahi	sall	6	7	4
194	194	5	364	times	somethry	vvnginogfescror	marine	8	15	6
195	195	9	1	hydraotes	canders	som	somethry	7	3	8
196	196	7	192	ancient	tanking	nwiqdeds	canders	7	8	7
197	197	6	17	greeks	supported	tchmikonnhyxen	tanking	9	14	7
198	198	8	95	carolina	signified	vnthfigasizz	supported	9	12	9
199	199	10	25	hurricanes	attempts	prlyjaovotd	signified	8	11	9
200	200	7	72	variety	sinces	aid	attempts	6	3	8
201	201	6	24	snakes	builds	SOSivkmkiyiirxtly	sinces	6	17	6
202	202	5	17	congo	elective	ncitasawocypu	builds	8	13	6
203	203	5	41	basin	excepts	elmeonlyvyyego	elective	7	14	8
204	204	3	3013	not	legisting	eofupoiallez	excepts	9	12	7
205	205	2	853	so	conite	nb	faction	6	2	7
206	206	4	513	well	shower	kjgirmiwh	legisting	6	9	9
207	207	5	260	those	paterno	rdp	conite	7	3	6
208	208	4	118	rest	passing	sojcernyuveragedbyow	shower	7	20	6
209	209	6	193	africa	describer	piezgtohks	paterno	9	10	7
210	210	7	1	populus	recomment	pfhsibidixSOSlyoexitiusst	passing	9	25	7
211	211	9	1	deltoides	thero	gebrov	describer	5	6	9
212	212	9	17	mayflower	content	rzcaij	recomment	7	6	9
213	213	8	27	plymouth	sulfore	tuSOSkquulkrcrizepraplyoy	thero	7	25	5
214	214	6	30	harbor	demand	rifed	content	6	5	7
215	215	7	2	halsall	archaeological	uz	sulfore	14	2	7
216	216	2	3104	an	surrey	dlexanly	demand	6	8	6
217	217	9	44	estimated	thurts	aSOSbkzs	archaeological	6	8	14
218	218	4	4387	from	autural	luckby	surrey	7	6	6
219	219	4	659	each	apposite	uju	thurts	8	3	6
220	220	4	719	year	salen	oukmepweigwqysnhessrp	autural	5	21	7
221	221	5	535	while	shortest	pankeyinbk	apposite	8	10	8
222	222	5	49	agree	belood	ya	salen	6	2	5
223	223	5	1869	other	carrier	opzcuppsbeasblernsong	shortest	7	21	8
224	224	7	2	gnostic	subsperance	bpcmtzclurtqhzvasm	belood	11	18	6
225	225	5	5	sects	bobert	nnlmylib	carrier	6	8	7
226	226	5	1253	world	ballogist	znauweimtaxd	community	9	12	9
227	227	6	97	prison	frieds	SOSuydp	subsperance	6	7	11
228	228	8	17	governed	sudicors	mpnrsizhdordnhha	manus	8	16	5
229	229	9	15	planetary	contrine	bobcorvs	bobert	8	8	6
230	230	7	1	archons	painted	bauengravn	ballogist	7	10	9
231	231	2	732	do	saul	frlusmsornho	frieds	4	12	6
232	232	4	99	view	artistement	iudupmretteamliegssyo	sudicors	11	21	8
233	233	5	18	cruel	platest	ld	contrine	7	2	8
234	234	12	2	inhospitable	fort	pampSOSmfvuoureseeisratabropy	painted	4	29	7
235	235	3	2289	one	herive	iazw	saul	6	4	4
236	236	8	31	entrance	seas	hpzifthediSOSjadagtapx	artistement	4	22	11
237	237	5	87	santa	para	plvtzipleiuf	platest	4	12	7
238	238	6	3	susana	protography	fixtrowysh	fort	11	10	4
239	239	4	55	pass	past	hmdrlwyigi	herive	4	10	6
240	240	4	168	road	theater	sea	seas	7	3	4
241	241	6	146	street	state	perthnweaudu	para	5	12	4
242	242	6	598	number	signity	pvwcr	protography	7	5	11
243	243	3	2500	has	belengan	phftqypijacinhby	past	8	16	4
244	244	7	200	changed	follow	esujtsions	theater	6	10	7
245	245	3	1965	had	rick	scatasgxuxt	state	4	11	5
246	246	7	61	teacher	ello	sy	signity	4	2	7
247	247	6	1474	called	priming	bezehwajnneh	belengan	7	12	8
248	248	9	10	friedrich	pappe	nolflie	follow	5	7	6
249	249	7	16	wilhelm	absence	riwi	rick	7	4	4
250	250	6	1	zachow	artricity	eqvwopvovgywagh	ello	9	15	4
251	251	8	9	organist	tage	dykoansetelbuiet	priming	4	16	7
252	252	3	328	big	angreste	pivont	pappe	8	6	5
253	253	6	273	church	simples	tb	absence	7	2	7
254	254	12	1	marienkirche	sied	arewhequgavif	artricity	4	13	9
255	255	5	3	halle	tanks	jysbexritgemesr	stan	5	15	4
256	256	4	702	best	dollar	tcgimgnolenur	tage	6	13	4
257	257	3	172	act	mass	ahgrbsuept	angreste	4	10	8
258	258	4	250	term	supsection	grcaueszue	simples	10	10	7
259	259	5	2	lumps	pastar	squiiskao	sied	6	9	4
260	260	8	321	together	imposed	ttzwlehoovstrapny	tanks	7	17	5
261	261	9	736	different	prist	dolkmycdstitoloty	dollar	5	17	6
262	262	5	81	kinds	side	mosmnzn	mass	4	7	4
263	263	9	41	organisms	premiered	suvuaclysfu	supsection	9	11	10
264	264	8	28	terminal	hands	wiovaenugegtocowy	pastar	5	17	6
265	265	6	77	flight	exprose	imlg	imposed	7	4	7
266	266	11	164	information	starring	plaspycstrrikeittisgsnylup	prist	8	26	5
267	267	7	36	display	recurred	sidg	side	8	4	4
268	268	6	430	system	offer	nmrm	premiered	5	4	9
269	269	4	1360	used	sevant	vigimsmjlieses	hands	6	14	5
270	270	3	1398	all	alberry	eivpospowglyyvhtmseiyxiens	exprose	7	26	7
271	271	4	248	star	carrow	orywoczengtg	starring	6	12	8
272	272	8	46	alliance	exit	reSOScwr	recurred	4	8	8
273	273	7	27	flights	partisics	osyth	offer	9	5	5
274	274	3	1949	can	settence	wegthlyivbos	sevant	8	12	6
275	275	5	604	often	themes	alkvozsvpwcegbtgpkay	alberry	6	20	7
276	276	4	263	seen	charly	wnujbwhw	carrow	6	8	6
277	277	2	6414	on	charge	eoquizwc	exit	6	8	4
278	278	6	182	social	inferice	kvnbkubms	partisics	8	9	9
279	279	5	127	media	create	s	settence	6	1	8
280	280	8	5	engaging	conservation	asipkfuc	carry	12	8	5
281	281	6	1	unwise	thoum	jimnalfle	themes	5	9	6
282	282	8	46	behavior	palager	vwsklyffcglh	charly	7	12	6
283	283	6	40	shared	perses	aitisv	charge	6	6	6
284	284	8	1	rochdale	steam	inusqaillahyryigseaws	inferice	5	21	8
285	285	7	4	hornets	move	cdwcan	create	4	6	6
286	286	5	28	rugby	strate	mzn	conservation	6	3	12
287	287	7	30	leagues	substrant	tygokdqhawolnesSOSs	thoum	9	19	5
288	288	9	1	kingstone	stoodle	xdgaveaehym	palager	7	11	7
289	289	5	82	press	fress	SOSexkiofiavu	perses	5	13	6
290	290	6	773	league	teal	syemh	steam	4	5	5
291	291	5	30	smart	editors	vsmyvoho	move	7	8	4
292	292	3	38	guy	princess	vrua	strate	8	4	6
293	293	4	1296	made	fored	yobby	substrant	5	5	9
294	294	12	1	machineworks	physician	wawedpnfsil	stoodle	9	11	7
295	295	9	64	northwest	comments	frvss	fress	8	5	5
296	296	3	4	llc	consurs	teapa	teal	7	5	4
297	297	4	170	sold	prices	edermarns	editors	6	9	7
298	298	5	71	hands	backs	zsp	princess	5	3	8
299	299	6	69	mobile	depressed	bxthpy	berth	9	6	5
300	300	6	58	highly	term	fgwitedgafi	fored	4	11	5
301	301	10	116	successful	compose	xzppqzcomlmei	physician	7	13	9
302	302	8	28	broadway	coor	vionlsnw	comments	4	8	8
303	303	3	223	run	published	nierkbruzyncumle	consurs	9	16	7
304	304	8	301	november	programmed	jsjc	prices	10	4	6
305	305	4	11	demi	chinces	jakuskikpakt	backs	7	12	5
306	306	11	1	lovatojulia	taller	depnst	depressed	6	6	9
307	307	16	1	michaelsamethyst	bene	thaam	term	4	5	4
308	308	10	1	kellysteve	steph	rtawox	compose	5	6	7
309	309	3	22	mac	carbones	yboraestlaysavit	coor	8	16	4
310	310	7	2	poisson	galan	pzvgwecpmdeomereceetssytstly	published	5	28	9
311	311	9	192	published	provide	pisgbieagn	programmed	7	10	10
312	312	5	91	ideas	folk	c	chinces	4	1	7
313	313	11	14	probability	parase	tioSOSdeardlbmngl	taller	6	17	6
314	314	6	116	theory	expans	befeaqioiativaiau	bene	6	17	4
315	315	4	2781	also	ander	ntvki	steph	5	5	5
316	316	8	167	included	sunder	carbbe	carbones	6	6	8
317	317	4	478	what	religient	ggeaph	galan	9	6	5
318	318	3	448	now	transsor	prkeft	provide	8	6	7
319	319	12	69	distribution	contenned	fajscegrezrue	folk	9	13	4
320	320	4	368	book	sting	knbozgxwtrege	parase	5	13	6
321	321	5	186	seven	interchange	efeccsco	expans	11	8	6
322	322	8	8	editions	dural	auvbrbeuqbwg	ander	5	12	5
323	323	8	1	abridged	interpredence	y	sunder	13	1	6
324	324	8	1	winghead	standed	rlyixoundo	religient	7	10	9
325	325	5	48	shark	charlonge	tmpgrasc	transsor	9	8	8
326	326	6	16	mature	chargelence	mhoinzngdvioguvancy	contenned	11	19	9
327	327	6	502	around	mongest	ndiurgn	sting	7	7	5
328	328	2	73	cm	mariled	ibwntc	interchange	7	6	11
329	329	4	525	long	spear	duakot	dural	5	6	5
330	330	2	63	ca	chus	izthrrs	interpredence	4	7	13
331	331	2	249	nt	speconsis	vllapquttrienz	standed	9	14	7
332	332	7	32	falling	belonger	dhuib	charlonge	8	5	9
333	333	4	272	love	mically	kyahralfudpyopc	chargelence	7	15	11
334	334	8	2	sikatiya	terror	mvfg	mongest	6	4	7
335	335	4	2348	have	marshell	itSOSqlnded	mariled	8	11	7
336	336	4	888	very	call	tnolroavirs	spear	4	11	5
337	337	3	451	old	charlool	crusorsbitswoutpon	chus	8	18	4
338	338	7	273	history	count	eppbonyed	speconsis	5	9	9
339	339	5	2066	their	moson	bk	belonger	5	2	8
340	340	8	18	policies	carron	mitauimson	mically	6	10	7
341	341	7	501	usually	transe	olxdsskyir	terror	6	10	6
342	342	7	25	promote	trance	modsvlusfraugcwbfdi	marshell	6	19	8
343	343	12	5	conservatism	borbers	calcgkn	call	7	7	4
344	344	9	167	character	gransit	knmchroirfsyl	charlool	7	13	8
345	345	5	55	liked	subdellated	updyra	count	11	6	5
346	346	7	66	critics	partice	mrxzjulkmcrtyete	moson	7	16	5
347	347	8	3	praising	scientine	izowv	carron	9	5	6
348	348	9	5	depiction	bearrigh	tkhwze	transe	8	6	6
349	349	11	7	considering	belone	meadwawuexos	trance	6	12	6
350	350	6	101	source	sail	rcrbatfieg	borbers	4	10	7
351	351	5	34	comic	meas	ghhmsltnarogig	gransit	4	14	7
352	352	6	15	relief	distruction	vlqe	subdellated	11	4	11
353	353	4	453	live	stover	xamyphev	partice	6	8	7
354	354	8	179	tropical	gother	tnielxjonddvs	scientine	6	13	9
355	355	6	174	places	manistrate	eSOSkyxhpmiguthhquleigbeaissy	bearrigh	10	29	8
356	356	10	26	queensland	paramera	bmbspn	belone	8	6	6
357	357	9	268	australia	burley	sakwyskuzndoysre	sail	6	16	4
358	358	5	44	dates	groundated	deeu	meas	10	4	4
359	359	4	471	show	cambers	d	distruction	7	1	11
360	360	4	394	last	measure	yguvewwpybyr	stover	7	12	6
361	361	9	3	megafauna	domoted	goriubu	gother	7	7	6
362	362	6	840	became	bone	mbjhslras	manistrate	4	9	10
363	363	7	30	extinct	conside	pks	paramera	7	3	8
364	364	4	629	same	ellands	bmolcedle	burley	7	9	6
365	365	5	1367	about	servan	gw	groundated	6	2	10
366	366	5	1016	years	nerses	pqibitspoiteihgnb	cambers	6	17	7
367	367	3	104	ago	caste	SOSzfsp	measure	5	7	7
368	368	9	4	chernobyl	lout	domoSOSSOShwSOSlpkr	domoted	4	19	7
369	369	8	28	disaster	stadion	tqayeyin	conservation	7	8	12
370	370	4	204	gave	sungre	bouk	bone	6	4	4
371	371	7	69	weapons	bailor	kl	conside	6	2	7
372	372	5	262	money	senamer	elmnyssahide	ellands	7	12	7
373	373	6	36	allies	sands	i	servan	5	1	6
374	374	8	96	fighting	stand	nirqdi	nerses	5	6	6
375	375	3	723	war	terrors	equer	caste	7	5	5
376	376	2	358	ii	witer	ltlefruganoguighs	lout	5	17	4
377	377	4	912	part	selver	edgard	stadion	6	6	7
378	378	4	3	lend	surviv	xoyuyseo	sungre	6	8	6
379	379	5	3	lease	reguided	jfigrimj	bailor	8	8	6
380	380	7	148	program	tole	dgicocvodripsehpn	senamer	4	17	7
381	381	5	396	still	demon	landsuevy	sands	5	9	5
382	382	11	13	technically	colome	yuzSOSwehrilemeddb	stand	6	18	5
383	383	7	25	neutral	contension	teezsfansrat	terrors	10	12	7
384	384	10	3	stevensons	senal	fourqwnurolkilmion	count	5	18	5
385	385	8	137	research	intermane	wufehrob	witer	9	8	5
386	386	7	45	subject	noses	zdlceoSOSotsyegughtzy	selver	5	21	6
387	387	3	73	jim	shapes	hu	surviv	6	2	6
388	388	1	288	b	freather	ryquiear	reguided	8	8	8
389	389	7	2	tuckers	indinance	tuszd	tole	9	5	4
390	390	6	682	before	intended	durhtqlirf	demon	8	10	5
391	391	7	14	clearly	desting	kzlhpv	colome	7	6	6
392	392	7	38	enemies	manin	jimphyzn	manus	5	8	5
393	393	4	63	rise	trian	umcybaes	contension	5	8	10
394	394	4	100	fame	dispostry	sbiumykt	senal	9	8	5
395	395	6	4	downes	christian	irvides	intermane	9	7	9
396	396	3	90	ran	provination	ntsfsriende	noses	11	11	5
397	397	3	6875	for	programmes	unaskactede	shapes	10	11	6
398	398	5	94	mayor	explect	juvtymroeswy	freather	7	12	8
399	399	7	19	brandon	san	itmznk	indinance	3	6	9
400	400	7	37	douglas	discovery	illowuhndpabse	intended	9	14	8
401	401	5	7	bravo	alfowa	mosgj	mass	6	5	4
402	402	6	814	county	cartine	yunykainn	desting	7	9	7
403	403	4	78	seat	camer	ktujipvy	manin	5	8	5
404	404	4	7	ness	cooner	trinezaigkreshid	trian	6	16	5
405	405	6	80	recent	thought	dturyktswa	dispostry	7	10	9
406	406	7	92	studies	colors	vbbmi	christian	6	5	9
407	407	6	91	showed	indements	rikhtSOSvmwaqd	provination	9	14	11
408	408	7	41	beliefs	forest	yyrxl	programmes	6	5	10
409	409	11	18	connections	products	ekpbfii	explect	8	7	7
410	410	7	772	between	thowage	zlulitmh	san	7	8	3
411	411	4	38	diet	perman	doxciiis	discovery	6	8	9
412	412	4	7	gout	transland	awftze	alfowa	9	6	6
413	413	4	105	true	funition	wsleknkhzkngkltwknekuasyhaxi	cartine	8	28	7
414	414	6	1	maksim	crimitics	nambwmyugyl	national	9	11	8
415	415	11	1	romaschenko	string	hyashzvomvizidthhapm	camer	6	20	5
416	416	10	1	tookoffice	newards	rgocwokeph	cooner	7	10	6
417	417	7	345	october	hearent	yhoyesruvertrmk	thought	7	15	7
418	418	4	36	jail	prayed	nolblwybke	colors	6	10	6
419	419	11	22	authorities	constist	iegsmefer	indements	8	9	9
420	420	6	61	agreed	constitution	fciggaedellyomz	forest	12	15	6
421	421	9	75	prisoners	robert	pfyiohuoitarymiellhwehadic	products	6	26	8
422	422	7	9	demands	candrea	xhowavemprisnedwly	thowage	7	18	7
423	423	5	159	ended	needs	ubudh	perman	5	5	6
424	424	6	12	hunger	tenning	xroqerwlyoctybs	transland	7	15	9
425	425	6	29	strike	movent	fumirt	funition	6	6	8
426	426	4	371	june	partisists	raizsahhitts	crimitics	10	12	9
427	427	11	132	independent	distans	roz	string	7	3	6
428	428	9	52	newspaper	starr	nngchomocbhxlivssovpysockbley	newards	5	29	7
429	429	8	82	reported	broadd	heprejdugn	hearent	6	10	7
430	430	3	2048	she	sacules	tja	prayed	7	3	6
431	431	6	437	season	climit	wzmugudhnybns	discovery	6	13	9
432	432	6	14	ticket	angrount	cudsmhsycfy	constist	8	11	8
433	433	6	16	holder	comecrate	cvinbvatebhicus	constitution	9	15	12
434	434	5	13	aston	selenar	rl	robert	7	2	6
435	435	5	25	villa	fortest	fvud	candrea	7	4	7
436	436	8	417	football	morackman	nheyuxsuv	needs	9	9	5
